,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus,Reference,Amber Locale
127,Dolichoderus_pinguis,33.9,38,Dolichoderinae,,Dolichoderus,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
137,Emplastus_biamoensis,33.9,38,Dolichoderinae,,Emplastus,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
139,Emplastus_elongatus,33.9,38,Dolichoderinae,,Emplastus,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
143,Emplastus_macrops,33.9,38,Dolichoderinae,,Emplastus,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
164,Formica_biamoensis,33.9,38,Formicinae,Formicini,Formica,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
188,Formica_paleosibirica,33.9,38,Formicinae,Formicini,Formica,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
219,Gesomyrmex_macrops,33.9,38,Formicinae,Gesomyrmecini,Gesomyrmex,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
220,Gesomyrmex_magnus,33.9,38,Formicinae,Gesomyrmecini,Gesomyrmex,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
265,Liometopum_incognitum,33.9,38,Dolichoderinae,Tapinomini,Liometopum,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
289,Myrmecites_dubius,33.9,38,Myrmicinae,,Myrmecites,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
294,Myrmecites_sibiricus,33.9,38,Myrmicinae,,Myrmecites,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
315,Pachycondyla_aberrans,33.9,38,Ponerinae,,Pachycondyla,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
321,Pachycondyla_oligocenica,33.9,38,Ponerinae,,Pachycondyla,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
322,Pachycondyla_parvula,40.4,48.6,Ponerinae,,Pachycondyla,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
325,Paraneuretus_dubovikoffi,33.9,38,Aneuretinae,,Paraneuretus,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
383,Proceratium_petrosum,33.9,38,Proceratiinae,Proceratiini,Proceratium,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
443,Ypresiomyrma_orientalis,33.9,38,Myrmeciinae,,Ypresiomyrma,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152",Bolshaya Svetlovodnaya
2,Afromyrma_petrosa,89.8,93.9,Myrmicinae,,Afromyrma,"G. M. Dlussky, D. J. Brothers, and A. P. Rasnitsyn. 2004. The first Late Cretaceous ants (Hymenoptera: Formicidae) from southern Africa, with comments on the origin of the Myrmicinae. Insect Systematics & Evolution 35:1-13",Botswanna
3,Afropone_oculata,89.8,93.9,Ponerinae,,Afropone,"G. M. Dlussky, D. J. Brothers, and A. P. Rasnitsyn. 2004. The first Late Cretaceous ants (Hymenoptera: Formicidae) from southern Africa, with comments on the origin of the Myrmicinae. Insect Systematics & Evolution 35:1-13",Botswanna
4,Afropone_orapa,89.8,93.9,Ponerinae,,Afropone,"G. M. Dlussky, D. J. Brothers, and A. P. Rasnitsyn. 2004. The first Late Cretaceous ants (Hymenoptera: Formicidae) from southern Africa, with comments on the origin of the Myrmicinae. Insect Systematics & Evolution 35:1-13",Botswanna
51,Camponotites_steinbachi,2.588,3.6,Formicinae,,Camponotites,"G. M. Dlussky, H. V. Karl, and C. Brauckmann. 2011. Camponotites steinbachi name, in Two ants (Insecta: Hymenoptera: Formicidae: Formicinae) from the late Pliocene of Willershausen, Germany, with a nomenclatural note on the genus Camponotites. Palaeontologische Zeitschrift ",Germany
215,Gesomyrmex_breviceps,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex,"G. M. Dlussky, T. Wappler, and S. Wedmann. 2009. Fossil ants of the genus Gesomyrmex Mayr (Hymenoptera, Formicidae) from the Eocene of Europe and remarks on the evolution of arboreal ant communities.",Germany
216,Gesomyrmex_flavescens,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex,"G. M. Dlussky, T. Wappler, and S. Wedmann. 2009. Fossil ants of the genus Gesomyrmex Mayr (Hymenoptera, Formicidae) from the Eocene of Europe and remarks on the evolution of arboreal ant communities.",Germany
217,Gesomyrmex_germanicus,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex,"G. M. Dlussky, T. Wappler, and S. Wedmann. 2009. Fossil ants of the genus Gesomyrmex Mayr (Hymenoptera, Formicidae) from the Eocene of Europe and remarks on the evolution of arboreal ant communities.",Germany
221,Gesomyrmex_pulcher,40.4,48.6,Formicinae,Gesomyrmecini,Gesomyrmex,"G. M. Dlussky, T. Wappler, and S. Wedmann. 2009. Fossil ants of the genus Gesomyrmex Mayr (Hymenoptera, Formicidae) from the Eocene of Europe and remarks on the evolution of arboreal ant communities.",Germany
105,Cretomyrma_arnoldii,83.5,85.8,Sphecomyrminae,Sphecomyrmini,Cretomyrma,G. M. Dlussky. 1975. Formicidae Taxonomy; Hymenoptera Apocrita of Mesozoic. Transactions of the Palaeontological Institute Academy of Sciences of the USSR 147:1-134,Russia
106,Cretomyrma_unicornis,83.5,85.8,Sphecomyrminae,Sphecomyrmini,Cretomyrma,G. M. Dlussky. 1975. Formicidae Taxonomy; Hymenoptera Apocrita of Mesozoic. Transactions of the Palaeontological Institute Academy of Sciences of the USSR 147:1-134,Russia
36,Baikuris_mandibularis,93.5,105.3,,,Baikuris,G. M. Dlussky. 1987. New Formicoidea (Hymenoptera) of the Upper Cretaceous. Paleontological Journal 21(1):146-150,Baikua-Neru
37,Baikuris_maximus,99.6,105.3,,,Baikuris,G. M. Dlussky. 1987. New Formicoidea (Hymenoptera) of the Upper Cretaceous. Paleontological Journal 21(1):146-150,Baikua-Neru
38,Baikuris_mirabilis,93.5,105.3,,,Baikuris,G. M. Dlussky. 1987. New Formicoidea (Hymenoptera) of the Upper Cretaceous. Paleontological Journal 21(1):146-150,Baikua-Neru
80,Canapone_dentata,70.6,83.5,Ectatomminae,,Canapone,"G. M. Dlussky. 1999. New ants (Hymenoptera, Formicidae) from Canadian amber. Paleontological Journal 33(4):409-412",Canada
153,Eotapinoma_macalpini,70.6,83.5,Dolichoderinae,,Eotapinoma,"G. M. Dlussky. 1999. New ants (Hymenoptera, Formicidae) from Canadian amber. Paleontological Journal 33(4):409-412",Canada
419,Stigmatomma_electrina,33.9,38,,,,"G. M. Dlussky. 2009. The Ant Subfamilies Ponerinae, Cerapachyinae, and Pseudomyrmecinae (Hymenoptera, Formicidae) in the Late Eocene Ambers of Europe. Paleontological Journal 43:1043-1086",Ukraine
420,Stigmatomma_groehni,33.9,38,Amblyoponinae,,Stigmatomma,"G. M. Dlussky. 2009. The Ant Subfamilies Ponerinae, Cerapachyinae, and Pseudomyrmecinae (Hymenoptera, Formicidae) in the Late Eocene Ambers of Europe. Paleontological Journal 43:1043-1086",Ukraine
378,Prionomyrmex_wappleri,23.03,28.4,Myrmeciinae,Prionomyrmecini,Prionomyrmex,"G. M. Dlussky. 2012. New fossil ants of the subfamily Myrmeciinae (Hymenoptera, Formicidae) from Germany. Paleontological Journal 46:288-292",Germany
50,Camponotites_silvestris,2.588,3.6,Formicinae,,Camponotites,G. Steinbach. 1967. Zur Hymenopterenfauna des Pliozäns von Willershausen/Westharz. Bericht der Naturhistorischen Gesellschaft zu Hannover 111:95-102 ,Germany
96,Cephalotes_alveolatus,13.82,20.44,Myrmicinae,Attini,Cephalotes,G. Vierbergen and J. Scheven. 1995. Nine new species and a new genus of Dominican amber ants of the tribe Cephalotini (Hymenoptera: Formicidae). Creation Research Society Quarterly 32(3):158-170 ,Dominican
98,Cephalotes_jansei,13.82,20.44,Myrmicinae,Attini,Cephalotes,G. Vierbergen and J. Scheven. 1995. Nine new species and a new genus of Dominican amber ants of the tribe Cephalotini (Hymenoptera: Formicidae). Creation Research Society Quarterly 32(3):158-170 ,Dominican
99,Cephalotes_obscurus,13.82,20.44,Myrmicinae,Attini,Cephalotes,G. Vierbergen and J. Scheven. 1995. Nine new species and a new genus of Dominican amber ants of the tribe Cephalotini (Hymenoptera: Formicidae). Creation Research Society Quarterly 32(3):158-170 ,Dominican
56,Camponotus_cockerelli,33.9,38,Formicinae,,Camponotus,"H. S.t. J. Donisthorpe. 1920. British Oligocene Ants. Annals and Magazine of Natural History, Series 9 6:81-9","Priabonian, UK"
336,Parasyscia_conservata,0,0.0117,Dorylinae,,Parasyscia,H. Viehmeyer. 1913. Ameisen aus dem Kopal von Celebes. Stettiner Entomologische Zeitung 74:141-155,Indonesia
312,Oecophylla_obesa,11.608,12.7,Formicinae,Oecophyllini,Oecophylla,"Heer, 1849: 108, pl. 8, fig. 1 (q.) CROATIA (Miocene). [Also described as new by Heer, 1850: 108.] Combination in Oecophylla: Mayr, 1867b: 50. Senior synonym of †anthracina, nigra, longipes, pinguis: Dlussky & Putyatina, 2014: 252.",Switzerland
192,Formica_primitiva,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
169,Formica_demersa,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
173,Formica_globiventris,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
175,Formica_gravida,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
177,Formica_immersa,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
178,Formica_lavateri,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
180,Formica_longicollis,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
181,Formica_macrocephala,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
182,Formica_macrophthalma,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
184,Formica_martynovi,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
185,Formica_obscura,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
186,Formica_orbata,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
189,Formica_parexsecta,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
193,Formica_primordialis,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
194,Formica_procera,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
195,Formica_pulchella,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
197,Formica_seuberti,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
198,Formica_ungeri,11.608,12.7,Formicinae,Formicini,Formica,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp.",Switzerland
53,Camponotus,11.608,12.7,Formicinae,Camponotini,,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
62,Camponotus_heracleus,11.608,12.7,Formicinae,Camponotini,Camponotus,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
63,Camponotus_induratus,11.608,12.7,Formicinae,Camponotini,Camponotus,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
64,Camponotus_lignitus,11.608,12.7,Formicinae,Camponotini,Camponotus,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
73,Camponotus_pinguiculus,11.608,12.7,Formicinae,Camponotini,Camponotus,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
83,Carebara_rugiceps,11.608,12.7,Myrmicinae,Crematogastrini,Carebara,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
88,Casaleia_longiventris,11.608,12.7,Amblyoponinae,,Casaleia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
102,Cephites_fragilis,11.608,12.7,,,,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
103,Cephites_oeningensis,11.608,12.7,,,,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Croatia
229,Imhoffia_nigra,11.608,12.7,Formicinae,,Imhoffia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp. ",Switzerland
271,Lonchomyrmex_freyeri,11.608,12.7,Myrmicinae,Crematogastrini,Lonchomyrmex,Heer. 1867. Fossile Hymenopteren aus Oeningen und Radoboj. Neue Denkschriften der Allgemeinen Schweizerischen Gesellschaft für die Gesammten Naturwissenschaften 22:1-42,Croatia
262,Liometopum_bogdassarovi,33.9,38,Dolichoderinae,,Liometopum,"Heterick, B.E. & Shattuck, S.O. 2011. Revision of the ant genus Iridomyrmex (Hymenoptera: Formicidae). Zootaxa 2845: 1–174.",Belarus
121,Dolichoderus_jiaoyanshanensis,15.97,20.44,Dolichoderinae,,Dolichoderus,"Hong, Y.-C., Wang, W. 1985. Miocene Diptera and Hymenoptera (Insecta) of Shanwang, Shandong Province, China. Memoirs of the Beijing Natural History Museum 31:1-22.",Shandong
70,Camponotus_palaeopterus,15.97,20.44,Formicinae,Camponotini,Camponotus,"Hong, Y.; Wu, J. 2000. The emendation of Shanwangella palaeoptera Zhang and its concerned problems. Geoscience (Beijing) 14: 15-20",Shandong
72,Camponotus_pictus,15.97,20.44,Formicinae,Camponotini,Camponotus,"Hong, Y.; Wu, J. 2000. The emendation of Shanwangella palaeoptera Zhang and its concerned problems. Geoscience (Beijing) 14: 15-20",Shandong
6,Alloiomma_changweiensis,15.97,20.44,Dolichoderinae,,Alloiomma,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
7,Alloiomma_differentialis,15.97,20.44,Dolichoderinae,,Alloiomma,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
54,Camponotus_ambon,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
55,Camponotus_ampullosus,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
61,Camponotus_gracilis,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
67,Camponotus_microthoracus,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
75,Camponotus_shanwangensis,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
119,Dolichoderus_evolans,15.97,20.44,Dolichoderinae,,Dolichoderus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
124,Dolichoderus_lacinius,15.97,20.44,Dolichoderinae,,Dolichoderus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
135,Elaphrodites_scutulatus,15.97,20.44,Dolichoderinae,,Elaphrodites,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
179,Formica_linquensis,15.97,20.44,Formicinae,Formicini,Formica,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
187,Formica_ovala,15.97,20.44,Formicinae,Formicini,Formica,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
284,Myopopone_sinensis,15.97,20.44,Amblyoponinae,,Myopopone,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
430,Technomyrmex_septentrionalis,15.97,20.44,Dolichoderinae,,Technomyrmex,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China",Shandong
59,Camponotus_curviansatus,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
65,Camponotus_longus,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
74,Camponotus_plenus,15.97,20.44,Formicinae,Camponotini,Camponotus,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
246,Lasius_mordicus,15.97,20.44,Formicinae,Lasiini,Lasius,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
252,Lasius_truncatus,15.97,20.44,Formicinae,Lasiini,Lasius,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
253,Lasius_validus,15.97,20.44,Formicinae,Lasiini,Lasius,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
254,Lasius_vetulus,15.97,20.44,Formicinae,Lasiini,Lasius,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
330,Paraphaenogaster_lapidescens,15.97,20.44,,,,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
331,Paraphaenogaster_paludosa,15.97,20.44,,,,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
333,Paraphaenogaster_shanwangensis,15.97,20.44,,,,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
134,Elaphrodites_mutatus,15.97,20.44,Dolichoderinae,,Elaphrodites,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
231,Iridomyrmex_shandongicus,15.97,20.44,Dolichoderinae,,Iridomyrmex,"J. F. Zhang. 1989. Fossil Insects From Shanwang, Shandong, China 1-459",Shandong
385,Proiridomyrmex_rotundatus,41.3,47.8,Dolichoderinae,,Proiridomyrmex,J. S. LaPolla and D. E. Greenwalt. 2015. Fossil ants (Hymenoptera: Formicidae) of the Middle Eocene Kishenehn Formation. Sociobiology 62:163-174,Montana
403,Pseudomyrmex_saxulum,41.3,47.8,Pseudomyrmecinae,,Pseudomyrmex,J. S. LaPolla and D. E. Greenwalt. 2015. Fossil ants (Hymenoptera: Formicidae) of the Middle Eocene Kishenehn Formation. Sociobiology 62:163-174,France
156,Eurymyrmex_geologicus,15.97,20.44,Dolichoderinae,,Eurymyrmex,"J. Zhang, B. Sun, and X. Zhang. 1994. Miocene insects and spiders from Shanwang, Shandong",Shandong
68,Camponotus_novotnyi,28.1,33.9,Formicinae,Camponotini,Camponotus,"K. Samsinak. 1967. Camponotus novotnyi sp. n., eine neue tertiäre Ameise aus Böhmen. Vestnik Ustredniho Ustavu Geologickeho 42:365-366",Germany
