taxon	age
Temnothorax_bernardi	0
Goniomma_blanci	0
Liometopum_occidentale	0
Aphaenogaster_araneoides	0
Harpagoxenus_sublaevis	0
Cerapachys_L_MG11	0
Iridomyrmex_AU01	0
Cerapachys_MG03	0
Myopias_sp_Mal1	0
Paraparatrechina_glabra	0
Cyatta_abscondita_GenBank	0
Psalidomyrmex_procerus	0
Cerapachys_nkomoensis	0
Paratopula_TH01	0
Tapinoma_MG03	0
Pseudoponera_stigma	0
Loweriella_boltoni	0
Simopelta_cf_pergandei	0
Hypoponera_opacior	0
Rhopalomastix_rothneyi	0
Sphinctomyrmex_stali	0
Ponera_sp_Mal1	0
Messor_wasmanni	0
Zatania_albimaculata	0
Terataner_MG27	0
Adetomyrma_MAD02	0
Adelomyrmex_paratristani	0
Myopias_lobosa	0
Trachymyrmex_arizonensis	0
Colobostruma_unicorna	0
Neivamyrmex_nigrescens	0
Hylomyrma_blandiens	0
Eutetramorium_mocquerysi	0
Paraparatrechina_sp_PHL02	0
Lenomyrmex_colwelli	0
Prionopelta_MAD01	0
Ochetomyrmex_neopolitus	0
Lophomyrmex_ambiguus	0
Axinidris_murielae	0
Technomyrmex_voeltzkowi	0
Arnoldius_AU01	0
Epelysidris_brocha	0
Azteca_schimperi	0
Lasius_alienus	0
Loboponera_politula	0
Hypoponera_sp_Mal3	0
Polyergus_breviceps	0
Terataner_MAD02	0
Eciton_hamatum	0
Euprenolepis_procera	0
Platythyrea_turneri	0
Eciton_vagans	0
Myrmecina_PG01	0
Cerapachys_desposyne	0
Protanilla_JAP01	0
Neoponera_unidentata	0
Myrmecina_graminicola	0
Myrmica_tahoensis	0
Nesomyrmex_MG01	0
Cerapachys_KH01	0
Simopelta_sp_JTL001	0
Austromorium_flavigaster	0
Sericomyrmex_sp	0
Mayaponera_constricta	0
Gnamptogenys_striatula	0
Vespula_sp	0
Strumigenys_ludovici	0
Plectroctena_ugandensis	0
Tyrannomyrmex_legatus	0
Mycocepurus_goeldii	0
Cerapachys_paradoxus	0
Myrmicocrypta_infuscata_cf	0
Tapinoma_sessile	0
Mystrium_rogeri	0
Lophomyrmex_striatulus	0
Eurhopalothrix_bolaui	0
Messor_denticornis	0
Orectognathus_versicolor	0
Strumigenys_godeffroyi	0
Pachycondyla_sp_Mal2	0
Daceton_armigerum	0
Leptanilla_RSA01	0
Dilobocondyla_sp	0
Melissotarsus_insularis	0
Cryptomyrmex_boltoni	0
Nylanderia_sp_PER02	0
Prionopelta_sp2	0
Nylanderia_sp_PER01	0
Strumigenys_membranifera	0
Pristomyrmex_punctatus	0
Cataglyphis_iberica	0
Cardiocondyla_mauritanica	0
Stenamma_dyscheres	0
Crematogaster_navajoa	0
Strumigenys_sp	0
Concoctio_concenta	0
Atopomyrmex_mocquerysi	0
Azteca_sp	0
Proceratium_MAD08	0
Proformica_nasuta	0
Stenamma_striatulum	0
Monomorium_exiguum	0
Solenopsis_PA01	0
Nylanderia_sp_CHR01	0
Paraparatrechina_sp_PHL01	0
Labidus_praedator	0
Carebara_urichi	0
Carebara_vidua	0
Azteca_ovaticeps	0
Nomamyrmex_esenbeckii	0
Cataulacus_MAD02	0
Chronoxenus_wroughtonii_javanus	0
Emeryopone_buttelreepeni	0
Acanthostichus_kirbyi	0
Nesomyrmex_MG08	0
Oxyopomyrmex_insularis	0
Temnothorax_tricarinatus	0
Cerapachys_suscitatus	0
Strumigenys_olsoni	0
Myrmicaria_carinata	0
Goniomma_hispanicum	0
Odontomachus_cephalotes	0
Chyphotes_sp	0
Myrmica_rugiventris	0
Platythyrea_strenua	0
Solenopsis_papuana	0
Papyrius_nitidus	0
Leptanilloides_femoralis	0
Vicinopone_conciliatrix	0
Leptogenys_attenuata	0
Simopone_trita	0
Crematogaster_modiglianii	0
Tapinoma_melanocephalum	0
Cerapachys_sauteri	0
Nylanderia_terricola	0
Myrmecia_fulviculis	0
Froggattella_kirbii	0
Adetomyrma_sp2b	0
Aptinoma_mangabe	0
Myrmica_kotokui	0
Cyphomyrmex_cornutus	0
Pogonomyrmex_angustus	0
Streblognathus_peetersi	0
Hagensia_havilandi	0
Leptanilloides_nubecula	0
Leptothorax_sp	0
Leptanilla_sp	0
Acanthognathus_ocellatus	0
Leptanilloides_nomada	0
Baracidris_sitra	0
Diacamma_sp_Indo1	0
Ravavy_miafina	0
Rhopalothrix_isthmica	0
Dicroaspis_KM01	0
Zatania_gloriosa	0
Leptogenys_iridescens	0
Myrmecocystus_flaviceps	0
Myrmica_striolagaster	0
Kartidris_sparsipila	0
Aenictus_ceylonicus	0
Notostigma_carazzii	0
Anillomyrma_AFRC_TZ_01	0
Pheidole_fimbriata	0
Tetramorium_venator	0
Aglyptacros_cf_sulcatus	0
Odontoponera_transversa	0
Heteroponera_panamensis	0
Neoponera_fauveli	0
Hypoponera_sp_Mal1	0
Calyptomyrmex_kaurus	0
Platythyrea_mocquerysi	0
Dorylus_emeryi_opacus	0
Pseudolasius_typhlops	0
Pogonomyrmex_maricopa	0
Technomyrmex_MAD05	0
Royidris_longiseta	0
Anochetus_emarginatus	0
Nylanderia_cf_vagaB	0
Dolichoderus_lamellosus	0
Ankylomyrma_coronacantha	0
Apomyrma_stygia	0
Strumigenys_nitens	0
Heteroponera_microps	0
Stegomyrmex_manni	0
Myrmecina_americana	0
Pheidole_hyatti	0
Prolasius_sp	0
Paraponera_clavata	0
Leptogenys_crassicornis	0
Tetramorium_hispidum	0
Hypoponera_sp_Mal2	0
Thaumatomyrmex_atrox	0
Pristomyrmex_orbiceps	0
Oxyopomyrmex_santschii	0
Ectatomma_quadridens	0
Cyphomyrmex_sp	0
Neoponera_marginata	0
Centromyrmex_brachycola	0
Proceratium_sp1	0
Cylindromyrmex_meinerti	0
Crematogaster_sordidula	0
Terataner_MG02	0
Crematogaster_acuta	0
Calyptomyrmex_beccari	0
Probolomyrmex_sp	0
Stenamma_snellingi	0
Cerapachys_LK01	0
Nylanderia_phantasma	0
Pheidole_rhea	0
Megalomyrmex_foreli	0
Octostruma_EC01	0
Myrmecocystus_mexicanus	0
Brachymyrmex_depilis	0
Terataner_sp	0
Cerapachys_edentatus	0
Harpegnathos_venator	0
Discothyrea_MAD07	0
Cardiocondyla_emeryi	0
Rogeria_stigmatica	0
Tetramorium_spinosum	0
Acanthomyrmex_ferox	0
Aphaenogaster_swammerdami	0
Eutetramorium_sp	0
Strumigenys_gundlachi	0
Nylanderia_vitiensis	0
Anillomyrma_decamera	0
Metapone_PG01	0
Acropyga_acutiventris	0
Meranoplus_radamae	0
Meranoplus_mayri	0
Nylanderia_vividula_a	0
Prenolepis_nitens	0
Notoncus_capitatus	0
Cerapachys_fragosus	0
Apterostigma_auriculatum	0
Melophorus_sp	0
Carebara_alperti	0
Solenopsis_xyloni	0
Tetheamyrma_subspongia	0
Aneuretus_simoni	0
Nothomyrmecia_macrops	0
Dolichoderus_pustulatus	0
Brachyponera_sennaarensis	0
Syllophopsis_ferodens	0
Linepithema_humile	0
Tetramorium_severini	0
Veromessor_andrei	0
Dorymyrmex_elegans	0
Myrmoteras_iriodum	0
Myrmelachista_sp	0
Neoponera_carinulata	0
Platythyrea_lamellosa	0
Odontomachus_coquereli	0
Ponera_pennsylvanica	0
Camponotus_hyatti	0
Solenopsis_invicta	0
Leptomyrmex_sp	0
Pheidole_clydei	0
Polyrhachis_Hagio01	0
Ocymyrmex_fortior_cf	0
Pogonomyrmex_imberbiculus	0
Pogonomyrmex_subdentatus	0
Pseudolasius_sp_PHL01	0
Strumigenys_pulchella	0
Strumigenys_erynnes	0
Formica_wheeleri	0
Meranoplus_cf_radamae	0
Tetramorium_CF01	0
Leptanilloides_gracilis	0
Cerapachys_biroi	0
Centromyrmex_sellaris	0
Bothriomyrmex_paradoxus	0
Forelius_chalybaeus	0
Sphinctomyrmex_steinheili	0
Romblonella_scrobifera	0
Gracilidris_pombero	0
Pheidole_dispar	0
Cheliomyrmex_morosus_cf	0
Cerapachys_PG01	0
Philidris_cordata	0
Aenictus_GA03	0
Monomorium_latinode	0
Azteca_instabilis	0
Cataulacus_hispidulus	0
Metapone_madagascarica	0
Dolopomyrmex_pilatus	0
Eulithomyrmex_striatus	35
Casaleia_longiventris	12
Britaneuretus_anglicus	36
Brownimecia_clavata	92
Eurymyrmex_geologicus	17.5
Lioponera_suscitata	0
Titanomyrma_gigantea	47
Lasius_ophthalmicus	19.0
Ypresiomyrma_orbiculata	51
Tetramorium_kulickae	40
Paraponera_dieteri	17.5
Pachycondyla_minutansata	17.5
Pseudomyrmex_extinctus	35.55
Acanthoponera_minor	0
Amblyopone_pallipes	0
