,SpecimenName,min_yr,max_yr,SubFamily,Tribe,Genus
228,Hypopomyrmex bombiccii,5.333,11.608,Myrmicinae,Crematogastrini,Hypopomyrmex
229,Imhoffia nigra,11.608,12.7,Formicinae,,Imhoffia
230,Iridomyrmex,33.9,37.2,Dolichoderinae,Leptomyrmecini,
231,Iridomyrmex shandongicus,15.97,20.44,Dolichoderinae,,Iridomyrmex
232,Klondikia whiteae,47.8,56.,,,Klondikia
233,Kohlsimyrma gracilis,46.2,50.3,,,Kohlsimyrma
234,Kohlsimyrma laticeps,46.2,50.3,,,Kohlsimyrma
235,Kohlsimyrma longiceps,46.2,50.3,,,Kohlsimyrma
236,Ktunaxia jucunda,41.3,47.8,Dolichoderinae,,Ktunaxia
237,Kyromyrma neffi,89.8,93.9,Formicinae,,Kyromyrma
238,Lasius,20.44,23.03,Formicinae,Lasiini,
239,Lasius anthracinus,11.608,12.7,Formicinae,Lasiini,Lasius
240,Lasius chambonensis,2.588,3.6,Formicinae,Lasiini,Lasius
241,Lasius crispus,7.246 5.333,11.62  8.7 ,Formicinae,Lasiini,Lasius
242,Lasius globularis,11.608,12.7,Formicinae,Lasiini,Lasius
243,Lasius inflatus,15.97,20.44,Formicinae,Lasiini,Lasius
244,Lasius longaevus,11.608,12.7,Formicinae,Lasiini,Lasius
245,Lasius longipennis,11.608,12.7,Formicinae,Lasiini,Lasius
246,Lasius mordicus,15.97,20.44,Formicinae,Lasiini,Lasius
247,Lasius oblongus,5.333,11.608,Formicinae,Lasiini,Lasius
248,Lasius occultatus,11.608,12.7,Formicinae,Lasiini,Lasius
249,Lasius ophthalmicus,11.608,12.7,Formicinae,Lasiini,Lasius
250,Lasius peritulus,33.9,37.2,Formicinae,Lasiini,Lasius
251,Lasius tertiarius,11.608,12.7,Formicinae,Lasiini,Lasius
252,Lasius truncatus,15.97,20.44,Formicinae,Lasiini,Lasius
253,Lasius validus,15.97,20.44,Formicinae,Lasiini,Lasius
254,Lasius vetulus,15.97,20.44,Formicinae,Lasiini,Lasius
255,Leptogenys chinensis,15.97,20.44,Ponerinae,Ponerini,Leptogenys
256,Leptogenys lacerata,15.97,20.44,Ponerinae,Ponerini,Leptogenys
257,Leptomyrmex neotropicus,13.82,20.44,Dolichoderinae,,Leptomyrmex
258,Leptomyrmula maravignae,5.333,11.608,Dolichoderinae,Leptomyrmecini,Leptomyrmula
