Specimen,subfamily,Tribe,Genus
Lasius_peritulus,Formicinae,Lasiini,Lasius
Lasius_tertiarius,Formicinae,Lasiini,Lasius
Lasius_truncatus,Formicinae,Lasiini,Lasius
Lasius_validus,Formicinae,Lasiini,Lasius
Lasius_vetulus,Formicinae,Lasiini,Lasius
Leptogenys_chinensis,Ponerinae,Ponerini,Leptogenys
Leptogenys_lacerata,Ponerinae,Ponerini,Leptogenys
Leptomyrmex_neotropicus,Dolichoderinae,,Leptomyrmex
Leptomyrmula_maravignae,Dolichoderinae,Leptomyrmecini,Leptomyrmula
Leucotaphus_donisthorpei,Formicinae,,Leucotaphus
Leucotaphus_gurnetensis,Formicinae,,Leucotaphus
Liometopum,Dolichoderinae,Tapinomini,
Liometopum_bogdassarovi,Dolichoderinae,,Liometopum
Liometopum_eremicum,Dolichoderinae,,Liometopum
Liometopum_imhoffii,Dolichoderinae,,Liometopum
Liometopum_incognitum,Dolichoderinae,Tapinomini,Liometopum
Liometopum_lubricum,Dolichoderinae,,Liometopum
Liometopum_miocenicum,Dolichoderinae,,Liometopum
Liometopum_potamophilum,Dolichoderinae,,Liometopum
Liometopum_scudderi,Dolichoderinae,,Liometopum
Lioponera_suscitata,Dorylinae,,Lioponera
Lonchomyrmex_freyeri,Myrmicinae,Crematogastrini,Lonchomyrmex
Lonchomyrmex_nigritus,Myrmicinae,Crematogastrini,Lonchomyrmex
Macabeemyrma_ovata,Myrmeciinae,,Macabeemyrma
Melissotarsus_ethiopiensis,Myrmicinae,Crematogastrini,Melissotarsus
Messelepone_leptogenoides,Ponerinae,,Messelepone
Messor,Myrmicinae,Stenammini,
Messor_sculpturatus,Myrmicinae,Stenammini,Messor
Mianeuretus_mirabilis,Aneuretinae,,Mianeuretus
Miomyrmex_impactus,Dolichoderinae,,Miomyrmex
Miomyrmex_striatus,Dolichoderinae,,Miomyrmex
Miosolenopsis_fossilis,Myrmicinae,,Miosolenopsis
Myanmyrma_gracilis,,,Myanmyrma
Myrmeciites,Myrmeciinae,,
Myrmeciites_goliath,Myrmeciinae,Collective group name (page does not exist),Myrmeciites
Myrmeciites_herculeanus,Myrmeciinae,Collective group name (page does not exist),Myrmeciites
Myrmeciites_tabanifluviensis,Myrmeciinae,Collective group name (page does not exist),Myrmeciites
Myrmecites_dubius,Myrmicinae,,Myrmecites
Myrmecites_latus,Myrmicinae,,Myrmecites
Myrmecites_major,Myrmicinae,,Myrmecites
Myrmecites_pusillus,Myrmicinae,,Myrmecites
Myrmecites_rotundiceps,Myrmicinae,,Myrmecites
Myrmecites_sibiricus,Myrmicinae,,Myrmecites
Myrmecorhynchus_novaeseelandiae,Formicinae,Melophorini,Myrmecorhynchus
Myrmica,Myrmicinae,Myrmicini,
Myrmica_eocenica,Myrmicinae,Myrmicini,Myrmica
Myrmica_paradoxa,Myrmicinae,Myrmicini,Myrmica
Myrmicinae,,,
Nesomyrmex_caritatis,Myrmicinae,Crematogastrini,Nesomyrmex
Nesomyrmex_dominicanus,Myrmicinae,Crematogastrini,Nesomyrmex
Odontomachus_paleomyagra,Ponerinae,Ponerini,Odontomachus
Odontomachus_pseudobauri,Ponerinae,Ponerini,Odontomachus
Odontomachus_spinifer,Ponerinae,Ponerini,Odontomachus
Oecophylla_atavina,Formicinae,Oecophyllini,Oecophylla
Oecophylla_bartoniana,Formicinae,Oecophyllini,Oecophylla
Oecophylla_eckfeldiana,Formicinae,Oecophyllini,Oecophylla
Oecophylla_grandimandibula,Formicinae,Oecophyllini,Oecophylla
Oecophylla_longiceps,Formicinae,Oecophyllini,Oecophylla
Oecophylla_megarche,Formicinae,Oecophyllini,Oecophylla
Oecophylla_obesa,Formicinae,Oecophyllini,Oecophylla
Oecophylla_praeclara,Formicinae,Oecophyllini,Oecophylla
Oecophylla_sicula,Formicinae,Oecophyllini,Oecophylla
